duration,input.bin,input.doc_len,input.document_id,input.document_title,input.index,input.query_id,input.topic_description,input.topic_query,job,output.relevant_snippets,output.relevant_snippets.annotations,output.relevant_snippets.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,max_relevance_score,none_score,nist_rel,nist_rel_binary,crowd_rel_binary,crowd_rel_ternary
85.5714285714,2,902,4721,SHULTZ VISITS AFRICA WITH GIFTS AND EXHORTATIONS,5056,443,What is the extent of U.S. (government and private) investment in sub-Saharan Africa?,"U.S., investment, Africa",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'s13': 4, 's12': 4, 's9': 2, 'none': 2, 's5': 2, 's2': 2, 's8': 1, 's1': 1, 's10': 1, 's7': 1, 's6': 1, 's3': 1, 's4': 1, 's11': 1})",24,14,7,0.32133217,"Counter({'none': 0.5981056998045025, 's13': 0.3998232850298839, 's9': 0.3140233471461673, 's12': 0.23133807050373578, 's5': 0.08579993788371659, 's2': 0.07181402145996676, 's8': 0.0020710151656136485, 's1': 0.0020710151656136485, 's10': 0.0020710151656136485, 's7': 0.0020710151656136485, 's6': 0.0020710151656136485, 's3': 0.0020710151656136485, 's4': 0.0020710151656136485, 's11': 0.0020710151656136485})",0.2557007971,"Counter({'s13': 0.5714285714285714, 's12': 0.5714285714285714, 's9': 0.2857142857142857, 'none': 0.2857142857142857, 's5': 0.2857142857142857, 's2': 0.2857142857142857, 's8': 0.14285714285714285, 's1': 0.14285714285714285, 's10': 0.14285714285714285, 's7': 0.14285714285714285, 's6': 0.14285714285714285, 's3': 0.14285714285714285, 's4': 0.14285714285714285, 's11': 0.14285714285714285})",0.399823285,0.5981056998,2,1,1,2
81.7142857143,2,596,4981,IRAQ SAYS THE ATTACK FAILED,8591,330,"This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.",Iran-Iraq Cooperation,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 6, 's2': 1, 's6': 1, 's1': 1})",9,4,7,0.9936579456,"Counter({'none': 0.9973483741728036, 's2': 0.0026516258271961396, 's6': 0.0026516258271961396, 's1': 0.0026516258271961396})",0.7142857143,"Counter({'none': 0.8571428571428571, 's2': 0.14285714285714285, 's6': 0.14285714285714285, 's1': 0.14285714285714285})",0.0026516258,0.9973483742,0,0,0,0
194.4285714286,2,812,6462,"America, the U.N. and China's Family Planning",12086,435,What measures have been taken worldwide and what countries have been effective in curbing population growth?,curbing population growth,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 4, 's13': 3, 's2': 3, 's8': 2, 's1': 2, 's10': 2, 's7': 2, 's6': 2, 's5': 2, 's4': 2, 's9': 1, 's3': 1, 's11': 1})",27,13,7,0.8276735661,"Counter({'none': 0.9277428162032596, 's13': 0.07225718379674038, 's2': 0.07225718379674038, 's6': 0.07128945805856102, 's4': 0.07128945805856102, 's8': 0.002429793647371138, 's1': 0.002429793647371138, 's10': 0.002429793647371138, 's7': 0.002429793647371138, 's5': 0.002429793647371138, 's9': 0.001462067909191769, 's3': 0.001462067909191769, 's11': 0.001462067909191769})",0.3675751123,"Counter({'none': 0.5714285714285714, 's13': 0.42857142857142855, 's2': 0.42857142857142855, 's8': 0.2857142857142857, 's1': 0.2857142857142857, 's10': 0.2857142857142857, 's7': 0.2857142857142857, 's5': 0.2857142857142857, 's6': 0.2857142857142857, 's4': 0.2857142857142857, 's9': 0.14285714285714285, 's3': 0.14285714285714285, 's11': 0.14285714285714285})",0.0722571838,0.9277428162,1,1,0,0
195.1428571429,2,889,7032,TOURS AND LECTURES TO TELL TALE OF 6 SHIPS,1801,399,Identify documents that discuss the activities or equipment of oceanographic vessels.,oceanographic vessels,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 5, 's9': 2, 's12': 2, 's10': 2, 's8': 1, 's11': 1, 's7': 1, 's4': 1, 's2': 1})",16,9,7,0.7286715083,"Counter({'none': 0.8712849050449615, 's9': 0.1287150949550384, 's12': 0.1287150949550384, 's10': 0.1287150949550384, 's8': 0.07889204017992266, 's11': 0.07889204017992266, 's7': 0.07889204017992266, 's2': 0.07889204017992266, 's4': 0.04982305477511576})",0.5031879385,"Counter({'none': 0.7142857142857143, 's9': 0.2857142857142857, 's12': 0.2857142857142857, 's10': 0.2857142857142857, 's8': 0.14285714285714285, 's11': 0.14285714285714285, 's7': 0.14285714285714285, 's4': 0.14285714285714285, 's2': 0.14285714285714285})",0.128715095,0.871284905,1,1,1,1
119.7142857143,2,680,9780,"BAKER, IN SAUDI ARABIA, TO PLEDGE U.S. NEUTRALITY IN IRAN-IRAQ WAR",8602,330,"This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.",Iran-Iraq Cooperation,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'s7': 6, 's2': 6, 's1': 6, 's9': 5, 's8': 5, 's12': 5, 's11': 5, 's5': 5, 's6': 5, 's4': 5, 's3': 4, 's10': 4, 'none': 1})",62,13,7,0.0453380647,"Counter({'none': 0.5863623411990987, 's7': 0.4136376588009012, 's2': 0.4136376588009012, 's1': 0.4136376588009012, 's9': 0.05883610669702642, 's8': 0.05883610669702642, 's12': 0.05883610669702642, 's11': 0.05883610669702642, 's5': 0.05883610669702642, 's6': 0.05883610669702642, 's4': 0.05883610669702642, 's3': 0.04428586413177776, 's10': 0.04428586413177776})",0.5809145845,"Counter({'s7': 0.8571428571428571, 's2': 0.8571428571428571, 's1': 0.8571428571428571, 's9': 0.7142857142857143, 's8': 0.7142857142857143, 's12': 0.7142857142857143, 's11': 0.7142857142857143, 's5': 0.7142857142857143, 's6': 0.7142857142857143, 's4': 0.7142857142857143, 's3': 0.5714285714285714, 's10': 0.5714285714285714, 'none': 0.14285714285714285})",0.4136376588,0.5863623412,0,0,1,2
199,2,920,10382,HOW TECHNOLOGY CAN BREED BOREDOM,6002,419,What new uses have been developed for old automobile tires as a means of tire recycling?,"recycle, automobile tires",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,Counter({'none': 7}),7,1,7,1,Counter({'none': 1.0}),1,Counter({'none': 1.0}),0,1,0,0,0,0
91.2857142857,2,696,11049,QUEENSBORO BRIDGE PLAN TO ADD TO TRAFFIC WOES,1574,363,What disasters have occurred in tunnels used for transportation?,transportation tunnel disasters,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 6, 's8': 1, 's3': 1, 's2': 1, 's11': 1, 's10': 1, 's7': 1, 's6': 1, 's5': 1, 's9': 1, 's4': 1, 's1': 1})",17,12,7,0.9911163974,"Counter({'none': 0.9964071775471292, 's8': 0.0035928224528708674, 's3': 0.0035928224528708674, 's2': 0.0035928224528708674, 's11': 0.0035928224528708674, 's10': 0.0035928224528708674, 's7': 0.0035928224528708674, 's6': 0.0035928224528708674, 's5': 0.0035928224528708674, 's9': 0.0035928224528708674, 's4': 0.0035928224528708674, 's1': 0.0035928224528708674})",0.7142857143,"Counter({'none': 0.8571428571428571, 's8': 0.14285714285714285, 's3': 0.14285714285714285, 's2': 0.14285714285714285, 's11': 0.14285714285714285, 's10': 0.14285714285714285, 's7': 0.14285714285714285, 's6': 0.14285714285714285, 's5': 0.14285714285714285, 's9': 0.14285714285714285, 's4': 0.14285714285714285, 's1': 0.14285714285714285})",0.0035928225,0.9964071775,0,0,0,0
356.2857142857,2,870,13522,STATE LOOKS AT FISHERS FOR A COMEBACK EFFORT,9791,347,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,Wildlife Extinction,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 5, 's2': 2, 's1': 2, 's10': 2, 's9': 2, 's4': 2, 's3': 2, 's8': 1, 's13': 1, 's5': 1, 's12': 1})",21,11,7,0.6531700069,"Counter({'none': 0.8236800121573166, 's2': 0.17631998784268332, 's1': 0.17631998784268332, 's10': 0.17631998784268332, 's9': 0.17631998784268332, 's4': 0.17631998784268332, 's3': 0.17631998784268332, 's12': 0.10156055707186983, 's8': 0.07475943077081348, 's13': 0.07475943077081348, 's5': 0.07475943077081348})",0.5121870927,"Counter({'none': 0.7142857142857143, 's2': 0.2857142857142857, 's1': 0.2857142857142857, 's10': 0.2857142857142857, 's9': 0.2857142857142857, 's4': 0.2857142857142857, 's3': 0.2857142857142857, 's8': 0.14285714285714285, 's13': 0.14285714285714285, 's5': 0.14285714285714285, 's12': 0.14285714285714285})",0.1763199878,0.8236800122,0,0,1,1
275.1428571429,2,577,13667,TREATING INVENTION AS AN ART FORM,4797,439,What new inventions or scientific discoveries have been made?,"inventions, scientific discoveries",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 4, 's2': 3, 's1': 3, 's3': 2, 's5': 1, 's4': 1})",14,6,7,0.4199916561,"Counter({'none': 0.6799293883661299, 's2': 0.3200706116338701, 's1': 0.3200706116338701, 's3': 0.14928631582834243, 's4': 0.08302257986835868, 's5': 0.06626373595998375})",0.3887720744,"Counter({'none': 0.5714285714285714, 's2': 0.42857142857142855, 's1': 0.42857142857142855, 's3': 0.2857142857142857, 's5': 0.14285714285714285, 's4': 0.14285714285714285})",0.3200706116,0.6799293884,0,0,1,2
116.2857142857,2,904,14324,Our Greedy Colleges,7265,690,Find documents which describe an advantage in hiring potential or increased income for graduates of U.S. colleges.,college education advantage,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'s13': 4, 's12': 3, 's11': 3, 'none': 2, 's8': 2, 's7': 2, 's5': 2, 's3': 2, 's2': 2, 's4': 2, 's9': 1, 's1': 1, 's10': 1, 's6': 1, 's14': 1})",29,15,7,0.2967357348,"Counter({'none': 0.6592366865425298, 's13': 0.31578596993111885, 's11': 0.0926158419741782, 's9': 0.08658926374550105, 's12': 0.031003921755028533, 's2': 0.028198909050992576, 's1': 0.024977343526351378, 's8': 0.006026578228677152, 's7': 0.006026578228677152, 's5': 0.006026578228677152, 's3': 0.006026578228677152, 's4': 0.006026578228677152, 's10': 0.003221565524641199, 's6': 0.003221565524641199, 's14': 0.003221565524641199})",0.2054816418,"Counter({'s13': 0.5714285714285714, 's12': 0.42857142857142855, 's11': 0.42857142857142855, 's8': 0.2857142857142857, 's7': 0.2857142857142857, 'none': 0.2857142857142857, 's5': 0.2857142857142857, 's3': 0.2857142857142857, 's4': 0.2857142857142857, 's2': 0.2857142857142857, 's9': 0.14285714285714285, 's1': 0.14285714285714285, 's10': 0.14285714285714285, 's6': 0.14285714285714285, 's14': 0.14285714285714285})",0.3157859699,0.6592366865,0,0,1,2
96.4285714286,2,963,15229,"U.S. CONTROL OF ARMS SALES WEAK AND INEFFECTIVE, SENATE UNIT TOLD",8787,389,"selling their products, formulas, etc. directly or indirectly to foreign entities for other than peaceful purposes?",illegal technology transfer,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 3, 's9': 2, 's8': 2, 's13': 2, 's2': 2, 's11': 2, 's6': 2, 's3': 2, 's1': 2, 's10': 1, 's7': 1, 's15': 1, 's5': 1, 's12': 1, 's4': 1, 's14': 1})",26,16,7,0.3537917623,"Counter({'none': 0.6327507926976442, 's2': 0.2872624605465649, 's3': 0.2872624605465649, 's1': 0.2872624605465649, 's6': 0.22597123905031893, 's9': 0.14729388256026119, 's8': 0.14729388256026119, 's13': 0.14729388256026119, 's11': 0.14729388256026119, 's10': 0.1466391874273946, 's7': 0.1466391874273946, 's15': 0.1466391874273946, 's5': 0.1466391874273946, 's12': 0.1466391874273946, 's4': 0.1466391874273946, 's14': 0.1466391874273946})",0.201038584,"Counter({'none': 0.42857142857142855, 's9': 0.2857142857142857, 's8': 0.2857142857142857, 's13': 0.2857142857142857, 's2': 0.2857142857142857, 's11': 0.2857142857142857, 's6': 0.2857142857142857, 's3': 0.2857142857142857, 's1': 0.2857142857142857, 's10': 0.14285714285714285, 's7': 0.14285714285714285, 's15': 0.14285714285714285, 's5': 0.14285714285714285, 's12': 0.14285714285714285, 's4': 0.14285714285714285, 's14': 0.14285714285714285})",0.2872624605,0.6327507927,0,0,1,2
87.4285714286,2,655,17302,Arms Free Market Benefits All NATO Members,8575,330,"This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.",Iran-Iraq Cooperation,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'s1': 5, 's7': 5, 's9': 5, 's5': 5, 's4': 5, 's6': 5, 's8': 4, 's3': 4, 's2': 4, 's10': 4, 'none': 2})",48,11,7,0.7903052126,"Counter({'none': 0.9411638933029736, 's1': 0.05883610669702642, 's7': 0.05883610669702642, 's9': 0.05883610669702642, 's5': 0.05883610669702642, 's4': 0.05883610669702642, 's6': 0.05883610669702642, 's8': 0.04428586413177776, 's3': 0.04428586413177776, 's2': 0.04428586413177776, 's10': 0.04428586413177776})",0.480875556,"Counter({'s1': 0.7142857142857143, 's7': 0.7142857142857143, 's9': 0.7142857142857143, 's5': 0.7142857142857143, 's4': 0.7142857142857143, 's6': 0.7142857142857143, 's8': 0.5714285714285714, 's3': 0.5714285714285714, 's2': 0.5714285714285714, 's10': 0.5714285714285714, 'none': 0.2857142857142857})",0.0588361067,0.9411638933,0,0,0,0
54.2857142857,2,885,18248,TWO GIRLS WIN WESTINGHOUSE COMPETITION,7080,310,Evidence that radio waves from radio towers or car (mobile) phones affect brain cancer occurrence.,Radio Waves and Brain Cancer,../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'none': 5, 's3': 2, 's10': 2, 's9': 1, 's8': 1, 's12': 1, 's1': 1, 's7': 1, 's6': 1, 's15': 1, 's14': 1, 's13': 1, 's5': 1, 's2': 1, 's4': 1, 's11': 1})",22,16,7,0.8814068677,"Counter({'none': 0.9493091901001172, 's3': 0.05069080989988287, 's10': 0.05069080989988287, 's9': 0.004836781853293226, 's8': 0.004836781853293226, 's12': 0.004836781853293226, 's1': 0.004836781853293226, 's7': 0.004836781853293226, 's15': 0.004836781853293226, 's6': 0.004836781853293226, 's13': 0.004836781853293226, 's5': 0.004836781853293226, 's2': 0.004836781853293226, 's14': 0.004836781853293226, 's11': 0.004836781853293226, 's4': 0.004836781853293226})",0.4935784939,"Counter({'none': 0.7142857142857143, 's3': 0.2857142857142857, 's10': 0.2857142857142857, 's9': 0.14285714285714285, 's8': 0.14285714285714285, 's12': 0.14285714285714285, 's1': 0.14285714285714285, 's7': 0.14285714285714285, 's15': 0.14285714285714285, 's6': 0.14285714285714285, 's13': 0.14285714285714285, 's5': 0.14285714285714285, 's2': 0.14285714285714285, 's14': 0.14285714285714285, 's11': 0.14285714285714285, 's4': 0.14285714285714285})",0.0506908099,0.9493091901,0,0,0,0
172.1428571429,2,772,19929,TOWN REGULATES TANNING SALONS,5044,427,Find documents that discuss the damage ultraviolet (UV) light from the sun can do to eyes.,"UV damage, eyes",../crowdsourcing_data/Main_Bin2/bin2_crowd_nist_only_anonymized,"Counter({'s12': 4, 's14': 4, 's8': 3, 's1': 3, 's10': 3, 's7': 3, 's5': 3, 's3': 3, 's2': 3, 's4': 3, 's11': 3, 's9': 2, 's13': 2, 'none': 2, 's6': 2})",43,15,7,0.3862758637,"Counter({'none': 0.717538762147942, 's14': 0.2810461469758671, 's12': 0.026640933831167193, 's8': 0.025225842954976364, 's1': 0.025225842954976364, 's10': 0.025225842954976364, 's7': 0.025225842954976364, 's3': 0.025225842954976364, 's2': 0.025225842954976364, 's4': 0.025225842954976364, 's11': 0.025225842954976364, 's5': 0.01761755561052385, 's9': 0.01620246473433302, 's13': 0.01620246473433302, 's6': 0.01620246473433302})",0.2628854525,"Counter({'s12': 0.5714285714285714, 's14': 0.5714285714285714, 's8': 0.42857142857142855, 's1': 0.42857142857142855, 's10': 0.42857142857142855, 's7': 0.42857142857142855, 's5': 0.42857142857142855, 's3': 0.42857142857142855, 's2': 0.42857142857142855, 's4': 0.42857142857142855, 's11': 0.42857142857142855, 's9': 0.2857142857142857, 's13': 0.2857142857142857, 'none': 0.2857142857142857, 's6': 0.2857142857142857})",0.281046147,0.7175387621,0,0,1,2
